Magnitud,Fecha,Valor
Total Nacional,1753999200000,116.322
Total Nacional,1751320800000,116.133
Total Nacional,1748728800000,116.466
Total Nacional,1746050400000,115.462
Total Nacional,1743458400000,115.282
Total Nacional,1740783600000,115.008
Total Nacional,1738364400000,114.577
Total Nacional,1735686000000,113.954
Total Nacional,1764543600000,0.1
Total Nacional,1761951600000,0.3
Total Nacional,1759269600000,0.2
Total Nacional,1756677600000,0.0
Total Nacional,1753999200000,0.2
Total Nacional,1751320800000,-0.3
Total Nacional,1748728800000,0.9
Total Nacional,1746050400000,0.2
Total Nacional,1743458400000,0.2
Total Nacional,1740783600000,0.4
Total Nacional,1738364400000,0.5
Total Nacional,1735686000000,0.7
Total Nacional,1764543600000,3.4
Total Nacional,1761951600000,3.4
Total Nacional,1759269600000,3.4
Total Nacional,1756677600000,3.5
Total Nacional,1753999200000,3.4
Total Nacional,1751320800000,3.4
Total Nacional,1748728800000,3.5
Total Nacional,1746050400000,3.6
Total Nacional,1743458400000,3.6
Total Nacional,1740783600000,3.8
Total Nacional,1738364400000,3.6
Total Nacional,1735686000000,3.7
Total Nacional,1764543600000,3.4
Total Nacional,1761951600000,3.3
Total Nacional,1759269600000,3.0
Total Nacional,1756677600000,2.8
Total Nacional,1753999200000,2.8
Total Nacional,1751320800000,2.6
Total Nacional,1748728800000,2.9
Total Nacional,1746050400000,2.0
Total Nacional,1743458400000,1.8
Total Nacional,1740783600000,1.6
Total Nacional,1738364400000,1.2
Total Nacional,1735686000000,0.7
