Concepto,Fecha,Valor
Andalucía. General. Variación en lo que va de año. ,1719784800000,11.2
Andalucía. General. Variación en lo que va de año. ,1711922400000,7.1
Andalucía. General. Variación en lo que va de año. ,1704063600000,2.7
Andalucía. General. Variación en lo que va de año. ,1696111200000,5.3
Andalucía. General. Variación en lo que va de año. ,1688162400000,5.9
Andalucía. General. Variación en lo que va de año. ,1680300000000,2.9
Andalucía. General. Variación en lo que va de año. ,1672527600000,0.2
Andalucía. Vivienda nueva. Índice. ,1759269600000,226.633
Andalucía. Vivienda nueva. Índice. ,1751320800000,221.148
Andalucía. Vivienda nueva. Índice. ,1743458400000,218.247
Andalucía. Vivienda nueva. Índice. ,1735686000000,212.796
Andalucía. Vivienda nueva. Índice. ,1727733600000,203.521
Andalucía. Vivienda nueva. Índice. ,1719784800000,201.651
Andalucía. Vivienda nueva. Índice. ,1711922400000,188.391
Andalucía. Vivienda nueva. Índice. ,1704063600000,184.535
Andalucía. Vivienda nueva. Índice. ,1696111200000,173.254
Andalucía. Vivienda nueva. Índice. ,1688162400000,177.265
Andalucía. Vivienda nueva. Índice. ,1680300000000,166.201
Andalucía. Vivienda nueva. Índice. ,1672527600000,165.549
Andalucía. Vivienda nueva. Variación trimestral. ,1759269600000,2.5
Andalucía. Vivienda nueva. Variación trimestral. ,1751320800000,1.3
Andalucía. Vivienda nueva. Variación trimestral. ,1743458400000,2.6
Andalucía. Vivienda nueva. Variación trimestral. ,1735686000000,4.6
Andalucía. Vivienda nueva. Variación trimestral. ,1727733600000,0.9
Andalucía. Vivienda nueva. Variación trimestral. ,1719784800000,7.0
Andalucía. Vivienda nueva. Variación trimestral. ,1711922400000,2.1
Andalucía. Vivienda nueva. Variación trimestral. ,1704063600000,6.5
Andalucía. Vivienda nueva. Variación trimestral. ,1696111200000,-2.3
Andalucía. Vivienda nueva. Variación trimestral. ,1688162400000,6.7
Andalucía. Vivienda nueva. Variación trimestral. ,1680300000000,0.4
Andalucía. Vivienda nueva. Variación trimestral. ,1672527600000,0.7
Andalucía. Vivienda nueva. Variación anual. ,1759269600000,11.4
Andalucía. Vivienda nueva. Variación anual. ,1751320800000,9.7
Andalucía. Vivienda nueva. Variación anual. ,1743458400000,15.8
Andalucía. Vivienda nueva. Variación anual. ,1735686000000,15.3
Andalucía. Vivienda nueva. Variación anual. ,1727733600000,17.5
Andalucía. Vivienda nueva. Variación anual. ,1719784800000,13.8
Andalucía. Vivienda nueva. Variación anual. ,1711922400000,13.4
Andalucía. Vivienda nueva. Variación anual. ,1704063600000,11.5
Andalucía. Vivienda nueva. Variación anual. ,1696111200000,5.3
Andalucía. Vivienda nueva. Variación anual. ,1688162400000,11.9
Andalucía. Vivienda nueva. Variación anual. ,1680300000000,5.9
Andalucía. Vivienda nueva. Variación anual. ,1672527600000,5.9
Andalucía. Vivienda nueva. Variación en lo que va de año. ,1759269600000,11.4
Andalucía. Vivienda nueva. Variación en lo que va de año. ,1751320800000,8.7
Andalucía. Vivienda nueva. Variación en lo que va de año. ,1743458400000,7.2
Andalucía. Vivienda nueva. Variación en lo que va de año. ,1735686000000,4.6
Andalucía. Vivienda nueva. Variación en lo que va de año. ,1727733600000,17.5
Andalucía. Vivienda nueva. Variación en lo que va de año. ,1719784800000,16.4
Andalucía. Vivienda nueva. Variación en lo que va de año. ,1711922400000,8.7
Andalucía. Vivienda nueva. Variación en lo que va de año. ,1704063600000,6.5
Andalucía. Vivienda nueva. Variación en lo que va de año. ,1696111200000,5.3
Andalucía. Vivienda nueva. Variación en lo que va de año. ,1688162400000,7.8
Andalucía. Vivienda nueva. Variación en lo que va de año. ,1680300000000,1.0
Andalucía. Vivienda nueva. Variación en lo que va de año. ,1672527600000,0.7
Andalucía. Vivienda segunda mano. Índice. ,1759269600000,180.614
Andalucía. Vivienda segunda mano. Índice. ,1751320800000,177.324
Andalucía. Vivienda segunda mano. Índice. ,1743458400000,172.192
Andalucía. Vivienda segunda mano. Índice. ,1735686000000,165.385
Andalucía. Vivienda segunda mano. Índice. ,1727733600000,160.495
Andalucía. Vivienda segunda mano. Índice. ,1719784800000,157.143
Andalucía. Vivienda segunda mano. Índice. ,1711922400000,152.082
Andalucía. Vivienda segunda mano. Índice. ,1704063600000,145.362
Andalucía. Vivienda segunda mano. Índice. ,1696111200000,142.358
Andalucía. Vivienda segunda mano. Índice. ,1688162400000,142.718
Andalucía. Vivienda segunda mano. Índice. ,1680300000000,139.691
Andalucía. Vivienda segunda mano. Índice. ,1672527600000,135.389
Andalucía. Vivienda segunda mano. Variación trimestral. ,1759269600000,1.9
Andalucía. Vivienda segunda mano. Variación trimestral. ,1751320800000,3.0
Andalucía. Vivienda segunda mano. Variación trimestral. ,1743458400000,4.1
Andalucía. Vivienda segunda mano. Variación trimestral. ,1735686000000,3.0
Andalucía. Vivienda segunda mano. Variación trimestral. ,1727733600000,2.1
Andalucía. Vivienda segunda mano. Variación trimestral. ,1719784800000,3.3
Andalucía. Vivienda segunda mano. Variación trimestral. ,1711922400000,4.6
Andalucía. Vivienda segunda mano. Variación trimestral. ,1704063600000,2.1
Andalucía. Vivienda segunda mano. Variación trimestral. ,1696111200000,-0.3
Andalucía. Vivienda segunda mano. Variación trimestral. ,1688162400000,2.2
Andalucía. Vivienda segunda mano. Variación trimestral. ,1680300000000,3.2
Andalucía. Vivienda segunda mano. Variación trimestral. ,1672527600000,0.1
Andalucía. Vivienda segunda mano. Variación anual. ,1759269600000,12.5
Andalucía. Vivienda segunda mano. Variación anual. ,1751320800000,12.8
Andalucía. Vivienda segunda mano. Variación anual. ,1743458400000,13.2
Andalucía. Vivienda segunda mano. Variación anual. ,1735686000000,13.8
Andalucía. Vivienda segunda mano. Variación anual. ,1727733600000,12.7
Andalucía. Vivienda segunda mano. Variación anual. ,1719784800000,10.1
Andalucía. Vivienda segunda mano. Variación anual. ,1711922400000,8.9
Andalucía. Vivienda segunda mano. Variación anual. ,1704063600000,7.4
Andalucía. Vivienda segunda mano. Variación anual. ,1696111200000,5.3
Andalucía. Vivienda segunda mano. Variación anual. ,1688162400000,4.5
Andalucía. Vivienda segunda mano. Variación anual. ,1680300000000,4.1
Andalucía. Vivienda segunda mano. Variación anual. ,1672527600000,3.8
Andalucía. Vivienda segunda mano. Variación en lo que va de año. ,1759269600000,12.5
Andalucía. Vivienda segunda mano. Variación en lo que va de año. ,1751320800000,10.5
Andalucía. Vivienda segunda mano. Variación en lo que va de año. ,1743458400000,7.3
Andalucía. Vivienda segunda mano. Variación en lo que va de año. ,1735686000000,3.0
Andalucía. Vivienda segunda mano. Variación en lo que va de año. ,1727733600000,12.7
Andalucía. Vivienda segunda mano. Variación en lo que va de año. ,1719784800000,10.4
Andalucía. Vivienda segunda mano. Variación en lo que va de año. ,1711922400000,6.8
Andalucía. Vivienda segunda mano. Variación en lo que va de año. ,1704063600000,2.1
Andalucía. Vivienda segunda mano. Variación en lo que va de año. ,1696111200000,5.3
Andalucía. Vivienda segunda mano. Variación en lo que va de año. ,1688162400000,5.6
Andalucía. Vivienda segunda mano. Variación en lo que va de año. ,1680300000000,3.3
Andalucía. Vivienda segunda mano. Variación en lo que va de año. ,1672527600000,0.1
Aragón. General. Índice. ,1759269600000,179.035
Aragón. General. Índice. ,1751320800000,176.563
Aragón. General. Índice. ,1743458400000,170.432
Aragón. General. Índice. ,1735686000000,162.696
Aragón. General. Índice. ,1727733600000,156.497
Aragón. General. Índice. ,1719784800000,154.092
Aragón. General. Índice. ,1711922400000,149.893
Aragón. General. Índice. ,1704063600000,143.668
Aragón. General. Índice. ,1696111200000,138.068
Aragón. General. Índice. ,1688162400000,139.69
Aragón. General. Índice. ,1680300000000,136.449
Aragón. General. Índice. ,1672527600000,134.247
Aragón. General. Variación trimestral. ,1759269600000,1.4
Aragón. General. Variación trimestral. ,1751320800000,3.6
Aragón. General. Variación trimestral. ,1743458400000,4.8
Aragón. General. Variación trimestral. ,1735686000000,4.0
Aragón. General. Variación trimestral. ,1727733600000,1.6
Aragón. General. Variación trimestral. ,1719784800000,2.8
Aragón. General. Variación trimestral. ,1711922400000,4.3
Aragón. General. Variación trimestral. ,1704063600000,4.1
Aragón. General. Variación trimestral. ,1696111200000,-1.2
Aragón. General. Variación trimestral. ,1688162400000,2.4
Aragón. General. Variación trimestral. ,1680300000000,1.6
Aragón. General. Variación trimestral. ,1672527600000,1.4
Aragón. General. Variación anual. ,1759269600000,14.4
Aragón. General. Variación anual. ,1751320800000,14.6
Aragón. General. Variación anual. ,1743458400000,13.7
Aragón. General. Variación anual. ,1735686000000,13.2
Aragón. General. Variación anual. ,1727733600000,13.3
Aragón. General. Variación anual. ,1719784800000,10.3
